Header Information,63,1440,17357,17193,17513,17668,17982,18018,--:--
Header Information,83,1517,2372,2575,362,870,756,779,--:--
Header Information,47,1439,2232,2413,321,213,8052,8085,--:--
Header Information,45,6884,10050,10254,305,1443,742,775,--:--
Header Information,48,5286,12430,11014,11247,13166,13875,13901,--:--
Header Information,48,4737,6307,6682,5866,721,11298,11320,--:--
Header Information,50,1484,2365,2564,633,1523,3437,3461,--:--
Header Information,54,4791,9552,9721,286,521,705,735,--:--
Header Information,56,1622,2566,2770,323,771,688,720,--:--
Header Information,74,4487,6034,19330,189,1566,658,701,--:--
Header Information,88,1578,2640,2906,224,443,735,782,--:--
Header Information,66,1571,2532,2798,202,581,653,709,--:--
Header Information,69,4577,6390,13636,419,1474,11784,11820,--:--
Header Information,54,1575,2498,2334,2723,3510,3226,3259,--:--
Header Information,65,1612,2393,2595,191,1033,698,745,--:--
Header Information,70,3648,5524,5689,720,1163,21468,21497,--:--
Header Information,67,1474,2249,2493,263,249,684,714,--:--
Header Information,57,1446,2240,2438,513,285,745,785,--:--
Header Information,67,1898,3860,4143,584,1721,19963,20002,--:--
Header Information,51,4072,4850,5115,222,766,658,694,--:--
Header Information,112,3681,4773,5176,431,1076,2333,2360,--:--
Header Information,47,4688,6616,6810,7947,8032,14613,14636,--:--
Header Information,60,3155,3922,4184,240,227,690,727,--:--
Header Information,54,5044,20898,21102,164,419,812,837,--:--
Header Information,58,1894,3325,3515,1609,4518,2864,2894,--:--
Header Information,64,4307,5741,7183,237,407,688,722,--:--
Header Information,48,1455,2335,2561,235,745,662,695,--:--
Header Information,63,1516,15664,15528,23138,16607,21203,21233,--:--
Header Information,92,2682,5835,4512,5946,5694,11287,11312,--:--
Header Information,61,1648,2387,2602,211,807,706,752,--:--
Header Information,44,9165,13223,13429,416,867,799,827,--:--
Header Information,53,2853,3755,3969,244,464,711,768,--:--
Header Information,102,1451,2424,2650,624,1101,19419,19449,--:--
Header Information,120,1532,2259,2522,231,603,886,932,--:--
Header Information,39,2435,4517,4980,550,4109,9033,9060,--:--
Header Information,60,3104,3999,4302,401,368,703,755,--:--
